# Number of Traces
   9684
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
  159; 1; 70; 1.06159; 0.0987551; -0.264193; 1.42849; -0.317351; 0.60035
  160; 1; 72; 1.04732; 0.133059; -0.227; 0.680704; 0.963462; 0.529603
  161; 1; 74; 0.498572; 1.06964; -0.291846; 1.19826; 0.0825585; 0.60035
  162; 1; 75; 0.637934; 0.984262; 0.320546; 0.586367; 1.12019; 0.501707
  163; 1; 78; 0.839084; 0.422539; -0.509276; 0.514798; 1.28505; 0.660174
  164; 1; 79; 1.05978; 0.0391839; -0.509276; 0.830863; 0.76041; 0.755408
  165; 1; 81; 0.585101; 1.11946; 0.490262; 0.998411; 0.493102; 0.848123
  166; 1; 82; 0.816168; 0.638136; 0.177767; 0.818048; 0.742996; 0.60035
  167; 1; 84; 0.51118; 0.99211; -0.509276; 0.881677; 0.656176; 0.692989
  168; 1; 86; 0.498921; 1.06984; -0.288695; 1.16435; 0.152162; 0.642145
  169; 1; 87; 0.570265; 0.88948; -0.509276; 0.806781; 0.762567; 0.60035
  170; 1; 89; 0.551854; 1.10032; 0.189754; 0.940528; 0.541619; 0.644792
  171; 1; 92; 0.536054; 1.09122; 0.0469444; 0.760447; 1.00901; 1.24898
  172; 1; 93; 0.960458; 0.410813; 0.268865; 1.26229; -0.0810348; 0.395623
  173; 1; 101; 0.534846; 1.11345; 0.125601; 1.13619; 0.283859; 0.965655
  174; 1; 104; 0.820959; 0.602215; 0.0698978; 0.985582; 0.330186; 0.124311
  175; 1; 106; 0.766938; 0.547858; -0.509276; 0.867881; 0.876435; 1.46017
  176; 1; 107; 0.854103; 0.396451; -0.509276; 0.563951; 1.28191; 0.981595
  177; 1; 108; 0.648438; 0.753693; -0.509276; 0.794036; 0.853204; 0.868064
  178; 1; 110; 0.7789; 0.674384; 0.0664284; 0.693487; 0.959359; 0.60035
  179; 1; 112; 0.498652; 1.01387; -0.509276; 0.36964; 1.54485; 0.690111
  180; 1; 113; 0.932572; 0.26015; -0.509276; 0.943903; 0.655661; 1.11341
  181; 1; 116; 1.03884; 0.146692; -0.231309; 0.856752; 0.675767; 0.60035
  182; 1; 117; 0.929905; 0.344907; -0.196128; 0.721808; 0.836672; 0.313116
  183; 1; 121; 1.01112; 0.287003; 0.128904; 1.01003; 0.409529; 0.60035
  184; 1; 123; 0.729412; 0.826158; 0.323646; 0.767176; 0.831362; 0.60035
